neighbourhood,resid_std,aic
Central Business District,93.12531248399165,1119.1428623615193
West End,28.764723509500925,837.1917520442727
Strathcona,26.57766078357496,818.2128603620974
Mount Pleasant,25.223515819126497,805.6622244885465
Renfrew-Collingwood,24.48864608075826,798.5661104183727
Fairview,21.88272929655451,771.5632602256044
Kitsilano,21.756995666114438,770.1802929963462
Grandview-Woodland,21.40934725340857,766.3144374562266
Kensington-Cedar Cottage,19.944078967278653,749.2995634113038
Hastings-Sunrise,15.510673846238891,688.9626313593719
Sunset,15.263309000381465,685.1042525787561
Riley Park,13.614264047172567,657.664146917407
Marpole,13.002658232919305,646.6327258828749
Killarney,9.346804701225418,567.4041000562003
Oakridge,9.195747950990361,563.4936975554808
Victoria-Fraserview,8.819023673615046,553.4544906691859
Kerrisdale,8.331381041897728,539.8028261478094
West Point Grey,8.19057724263883,535.7120604667296
South Cambie,7.91188833698045,527.403765535443
Dunbar-Southlands,7.733898937598267,521.9429602350447
Shaughnessy,7.6870363608214145,520.4842869658806
Arbutus Ridge,6.7420924787577325,489.0046900871339
Stanley Park,6.27005213527487,471.5841307564628
Musqueam,1.799779953693266,172.0352683151316
